id,name,artist_credit,platform,type,first_release_date_year
132694,"Live in Japan",1353269,Live,Album,1992
133905,"The Pet Sounds Sessions",1135,Compilation,Album,1997
134888,"Message in a Bottle: Music from and Inspired by the Motion Picture",1,Soundtrack,Album,1999
135863,"City of Industry",1,Soundtrack,Album,1997
138216,"The Digital Domain: A Demonstration",1,Compilation,Album,1983
140838,"Corrina, Corrina",1,Soundtrack,Album,1994
141753,"Live in Detroit",1757,Live,Album,2000
141776,"Backstage and Dangerous: The Private Rehearsal",1757,Live,Album,2002
141899,"Maybe Memories",52450,Compilation,Album,2003
142038,"Live at the Aquarius Theatre: The First Performance",1757,Live,Album,2001
142041,"Lost Interview Tapes Featuring Jim Morrison, Volume 1",1757,Interview,Other,2001
142044,"Lost Interview Tapes Featuring Jim Morrison, Volume 2: The Circus Magazine Interview",1757,Interview,Other,2002
143018,"The First Ten Years",14284,Compilation,Album,1970
145054,"Greatest Hits",10032,Compilation,Album,NULL
146978,"Brazil Classics 3: ForrÃ³, Etc.",1,Compilation,Album,1991
149117,"Das Boot: Die original Filmmusik",48221,Soundtrack,Album,1982
149911,"Your #1 Requests... And More!",2013606,Compilation,Album,2000
149924,Live,10032,Live,Album,1977
150013,"Zabriskie Point",1,Soundtrack,Album,1970
152158,"Back to the Future: Original Motion Picture Score",21443,Soundtrack,Album,1999
152812,"The Time-Life Treasury of Christmas",1,Compilation,Album,1987
154748,"Greatest Hits",926,Compilation,Album,2001
155006,"Twin Peaks: Fire Walk With Me: Music From the Motion Picture Soundtrack",5568,Soundtrack,Album,1992
159724,"Beyond the Fringe",77214,Soundtrack,Album,1993
160965,"The Music Man",117573,Soundtrack,Album,1958
163516,"Baby Mozart",2362648,Compilation,Album,2000
164515,"No Prima Donna: The Songs of Van Morrison",1,Compilation,Album,1994
170259,"Cast Away: The Films of Robert Zemeckis / The Music of Alan Silvestri",21443,Compilation,Album,2001
170259,"Cast Away: The Films of Robert Zemeckis / The Music of Alan Silvestri",21443,Soundtrack,Album,2001
170710,"Born to Choose",1,Compilation,Album,1993
171167,"Troubadours of British Folk, Volume 2",1,Compilation,Album,1995
172838,"The Best of Tom Paxton: I Can't Help But Wonder Where I'm Bound",36518,Compilation,Album,1999
173276,"Smash Hits",344488,Compilation,Album,1968
173515,Live,36027,Live,Album,1975
177669,"Little Shop of Horrors",36138,Soundtrack,Album,1986
177775,"Love Power Peace: Live at The Olympia, Paris, 1971",1629,Live,Album,1992
182719,Crossroads,938,Compilation,Album,1988
184931,Ultimate!,38093,Compilation,Album,2001
185455,"No New York",1,Compilation,Album,1978
187021,Goldfinger,10086,Soundtrack,Album,1964
188287,"Ultimate Christmas",1135,Compilation,Album,1998
188826,"King of Kings: The Very Best of Tito Puente",3822,Compilation,Album,2002
189359,"The Songs of West Side Story",1378358,Soundtrack,Album,1996
190386,"Campfire Songs: The Popular, Obscure & Unknown Recordings of 10,000 Maniacs",2925,Compilation,Album,2004
192006,"The Very Best of Dr. John",6436,Compilation,Album,1995
194941,"Just Say Yes, Volume 2: Just Say Yo",1,Compilation,Album,1988
195347,"Greatest Hits",49812,Compilation,Album,2002
204950,"Forever Tango",2109602,Soundtrack,Album,1998
205517,"The Greatest Hits, Volume 2: 20 More Good Vibrations",1135,Compilation,Album,1999
205810,"Little Shop of Horrors",36138,Soundtrack,Album,1982
217230,Wicked,47004,Soundtrack,Album,2003
218842,"Saturday Night Fever (The Original Movie Sound Track)",991,Compilation,Album,1977
218842,"Saturday Night Fever (The Original Movie Sound Track)",991,Soundtrack,Album,1977
223745,"A Chorus Line",21671,Soundtrack,Album,1975
225600,"Sampler #2",1,Compilation,Album,1986
227659,"Country Christmas",387,Compilation,Album,1991
229006,"Film Music",67023,Soundtrack,Album,1990
229812,"Wonderwall Music",2863,Soundtrack,Album,1968
230882,"The Very Best of Peter Allen: The Boy From Down Under",67845,Compilation,Album,2004
233151,"Bend It Like Beckham",1,Soundtrack,Album,2002
233942,"Sounds of Summer: The Very Best of the Beach Boys",1135,Compilation,Album,2003
236144,Barnum,4366,Soundtrack,Album,2002
238675,"The Jive Collection, Volume 3",32580,Compilation,Album,1995
243394,"Divas Exotica",1,Compilation,Album,1999
247557,"Entertainers... On and Off the Record",1673073,Compilation,Album,1978
253962,"Black History in Music: Sampler 2002",1,Compilation,Album,2002
255002,Oliver!,133696,Soundtrack,Album,1995
258946,"Atlantic Rhythm and Blues 1947-1974, Volume 3: 1955-1958",1,Compilation,Album,1985
270307,"Fahrenheit 9/11",1,Soundtrack,Album,2004
270962,"All I Really Want to Do / The Sonny Side of Cher",311,Compilation,Album,1992
271754,"99 Luftballons",1894,Compilation,Album,1984
274708,"Rock On: 1984",1,Compilation,Album,1996
277419,"This Is Music: The Singles 92â€“98",1953,Compilation,Album,2004
278328,"G Sides",22532,Compilation,Album,2001
285166,"More Dirty Dancing: More Original Music From the Hit Motion Picture â€œDirty Dancingâ€",1,Soundtrack,Album,1988
287855,"Yo! MTV Raps, Volume 2",1,Compilation,Album,1991
288368,"Ultimate Broadway",1,Compilation,Album,1998
289561,"A Compilation",20150,Compilation,Album,1996
290882,"Billboard Presents: Family Christmas Classics",1,Compilation,Album,1995
294108,"The Best of Vixen: Full Throttle",75488,Compilation,Album,1999
294791,"Ultimate Dance Divas",1,Compilation,Album,2003
298065,"42nd Street",3308,Soundtrack,Album,2001
301267,"Live Your Life With Verve",1,Compilation,Album,2004
305780,"Talkinâ€™ Verve With a Twist",1,Compilation,Album,1997
315817,"Eternity: A Romantic Collection",1,Compilation,Album,1996
318989,"Go to Nassau",1528,Live,Album,2004
319160,"The Very Best of Andrew Lloyd Webber: The Broadway Collection",1051,Compilation,Album,1996
321551,"Litaâ€™s Big Ones",8080,Compilation,EP,1991
323420,"Autumn in New York",11633,Soundtrack,Album,2000
325596,"Young, Dumb & Snotty: The Psychotic Years 1988-1993",77840,Compilation,Album,2004
326226,"Greatest Hits",12103,Compilation,Album,2005
337459,"Deep Blue: 25 Years of Blues Music on Rounder Records",1,Compilation,Album,1995
349603,"The Grateful Dead Movie Soundtrack",1528,Live,Album,2005
351019,"Twin Peaks",5568,Soundtrack,Album,1990
359304,"The Last Waltz",32481,Live,Album,1996
386381,"Stadium Jams",1,Compilation,Album,2004
392748,Can-Can,4344,Soundtrack,Album,1988
393201,"Les Luthiers hacen muchas gracias de nada",108235,Live,Album,1981
396255,CSN,12103,Compilation,Album,1991
398224,"At the "Golden Circle" Stockholm, Volume One",69595,Live,Album,1965
399347,"Classics for Lovers",1,Compilation,Album,1993
402013,"The Collected Country Joe and the Fish (1965 to 1970)",21683,Compilation,Album,NULL
