id,release,format,artist_credit,release_group,language
8154,8154,CD,446,19553,English
8171,8171,CD,2128,78928,English
8188,8188,CD,23,40320,English
8195,8195,CD,22,28611,English
8210,8210,CD,10302,40713,English
8219,8219,"12" Vinyl",918,42932,English
8220,8220,CD,2129,81883,English
8223,8223,CD,155,46255,English
8227,8227,"12" Vinyl",3562,80960,English
8235,8235,CD,169160,201426,"[Multiple languages]"
8260,8260,CD,61699,135039,English
8267,8267,CD,66179,833532,English
8278,8278,CD,932588,518599,English
8295,8295,CD,1037,979654,English
8309,8309,CD,1111,39047,English
8329,8329,CD,151,91343,English
8337,8337,CD,909,146043,English
8341,8341,CD,1321,4107,English
8346,8346,CD,1007,18659,English
8347,8347,CD,158,36326,English
8353,8353,CD,9698,127739,English
8375,8375,CD,197,28464,English
8391,8391,CD,37,297060,English
8398,8398,CD,1754424,41216,English
8420,8420,"12" Vinyl",962,168205,English
8426,8426,CD,59942,96070,English
8433,8433,HDCD,72940,21780,English
8436,8436,"12" Vinyl",5033,24640,English
8445,8445,"Enhanced CD",1181,69078,English
8551,8551,CD,175983,141098,English
8697,8697,CD,62,18447,English
8719,8719,CD,1111,39047,English
8730,8730,CD,191,19403,English
8733,8733,CD,1006,91836,English
8808,8808,CD,1374,331998,English
9174,9174,CD,60,20424,English
9175,9175,CD,249,23624,English
9243,9243,"12" Vinyl",12153,662410,English
9302,9302,CD,15234,58014,English
9304,9304,"Enhanced CD",244,85774,English
9362,9362,CD,1,225600,English
9596,9596,CD,1299384,39471,English
9644,9644,CD,48051,40622,Spanish
9661,9661,CD,22732,1043116,English
9662,9662,CD,22732,1043116,English
9663,9663,CD,22732,1043116,English
9742,9742,"Enhanced CD",32829,52881,English
10078,10078,CD,47,30848,English
10079,10079,CD,47,1826710,English
10091,10091,CD,47,30707,English
10208,116079,CD,14373,86696,English
10345,10345,CD,126512,167709,Norwegian
10372,10372,CD,2922,53095,English
10407,10407,CD,2925,39087,English
10409,10409,CD,2925,66020,English
10442,10442,CD,1587,116222,English
10505,10505,CD,190,728024,English
10535,10535,"12" Vinyl",21189,76561,English
10597,10597,CD,1203226,85930,English
10605,10605,CD,10026,39722,English
10665,10665,CD,9341,233631,English
10694,10694,CD,2465131,57483,English
10704,10704,CD,3194,98406,French
10826,10826,CD,2236,144369,English
10827,10826,CD,2236,144369,English
10879,10879,CD,909,19715,English
10885,10885,CD,15732,82467,English
10886,10885,CD,15732,82467,English
10983,10983,CD,9044,93,English
10984,10984,CD,9044,103,English
11009,11009,CD,1965,114475,English
11025,11025,CD,31416,173742,English
11294,11294,CD,1,107771,English
11416,11416,"12" Vinyl",1697983,240497,English
11433,11433,"12" Vinyl",1492,48053,English
11525,11525,CD,361,24014,English
11566,11566,CD,5678,236505,English
11580,11580,CD,2591,350426,English
11726,11726,CD,1444,102091,English
11916,11916,CD,44954,255997,English
11917,11917,CD,44954,255997,English
11921,11921,CD,9195,822151,English
11930,11931,CD,35974,204209,English
11931,11931,CD,35974,204209,English
11932,11931,CD,35974,204209,English
11933,11931,CD,35974,204209,English
11978,32714,CD,1,253456,English
11998,11998,CD,9195,822151,English
12052,12052,"12" Vinyl",846,254005,English
12054,12054,CD,1742,77754,English
12061,12061,CD,1299384,97816,English
12228,12228,"12" Vinyl",1614,74996,English
12266,12266,CD,12395,43074,English
12279,12279,CD,202,102751,English
12298,12298,CD,1444,241897,English
12512,12512,CD,1695,257630,English
12548,12548,CD,50916,217584,English
12558,12558,CD,1231,769275,English
12559,12558,CD,1231,769275,English
12605,12605,CD,2075,178337,English
12677,12677,CD,347,707627,English
12746,12746,CD,8335,127634,English
12779,12779,CD,3175,57680,English
12862,12862,CD,35429,261174,English
12868,12868,CD,153398,220452,"[Multiple languages]"
12928,12928,CD,8518,15900,English
12988,12988,CD,481,21599,English
13061,13061,CD,1602962,252522,English
13062,13061,CD,1602962,252522,English
13087,13087,CD,510,260163,English
13110,13110,CD,21827,95007,English
13201,13201,CD,15,18203,English
13243,13243,"12" Vinyl",1037,117269,English
13336,13336,"Enhanced CD",79105,265353,English
13349,13349,CD,2236,17666,English
13406,13406,CD,15234,581224,English
13439,13439,CD,1323,256281,English
13454,13454,CD,1958,55438,English
13492,13492,CD,37,5431,English
13621,13621,"12" Vinyl",317,36929,English
13623,13623,CD,317,36929,English
13676,13676,CD,317,808522,English
13682,13682,CD,317,30968,English
13683,13683,CD,317,18363,English
13909,13909,CD,2391,53951,English
13926,13926,CD,9379,215874,English
14102,14102,"12" Vinyl",191,52755,English
14110,14110,CD,782,21621,English
14186,14186,CD,34176,208406,English
14258,14258,CD,152450,210467,English
14326,14326,CD,30315,269566,English
14349,14349,"12" Vinyl",1,150013,English
14398,14398,CD,8080,64513,English
14401,14401,CD,8080,321551,English
14404,14404,"Enhanced CD",1022,133358,English
14410,14410,CD,1523329,206362,English
14438,14438,CD,519,48362,English
14458,14458,CD,2821,247624,English
14502,14502,CD,21018,103332,French
14585,14585,"Enhanced CD",34,102545,English
14588,14588,CD,34,140360,German
14592,14592,CD,34,571089,German
14634,14634,CD,481,176460,English
14637,14637,CD,481,39004,English
14638,14638,CD,481,22315,English
14639,14639,CD,481,678905,English
14644,14644,CD,187,17130,English
14730,14730,CD,164813,252503,English
14913,14913,CD,9365,149477,English
15077,15077,CD,2146353,271966,English
15131,15131,CD,30459,195622,English
15157,402789,CD,1061181,465371,English
15169,15169,CD,1192458,62192,English
15251,15251,CD,47,247986,English
15255,15255,CD,9698,93345,English
15258,3832,CD,365,625926,English
15402,15402,CD,4906,106868,English
15496,15496,CD,37430,78915,English
15531,15531,CD,33789,126435,English
15589,15589,CD,1,266648,English
15603,15603,CD,40032,274759,English
15729,15753,CD,1,275911,English
15735,15735,CD,988375,80339,English
15738,15738,CD,830742,276041,"[Multiple languages]"
15753,15753,CD,1,275911,English
15779,15779,CD,329,276152,English
15794,15794,CD,1405989,228288,English
15795,15794,CD,1405989,228288,English
15796,15794,CD,1405989,228288,English
15797,15794,CD,1405989,228288,English
15798,15794,CD,1405989,228288,English
15799,15794,CD,1405989,228288,English
15875,15875,CD,2292,75430,English
15925,15925,CD,1693,38978,English
15927,15927,CD,1503,63947,English
16010,16010,CD,2259,135911,English
16011,16011,HDCD,2259,135911,English
16072,16072,"12" Vinyl",2085,133324,English
16112,16112,CD,46990,120561,English
16126,16126,CD,11783,115057,English
16139,16139,CD,84,860371,English
16308,16308,CD,1953,277419,English
16376,16376,CD,22084,279439,English
16538,16538,CD,1,181294,English
16539,16539,"12" Vinyl",31923,279878,German
16541,16541,CD,158,5501,English
16810,16810,CD,2339471,281339,English
16832,16832,CD,255,91879,English
16833,16833,CD,255,128769,English
16856,16856,CD,1,184114,English
16964,16964,CD,22030,142400,English
17000,17000,CD,124721,239525,English
17087,17087,CD,1097,144344,English
17088,17088,CD,1097,144344,English
17089,17089,CD,1097,144344,English
17117,17117,Vinyl,29,545997,English
17341,17341,CD,197,283473,English
17348,17348,CD,69657,273801,English
17381,17381,CD,124721,166663,English
17423,17423,CD,40846,85599,English
17527,17527,Vinyl,112159,143209,English
17560,17560,CD,15340,37100,English
17762,17762,CD,35499,144263,English
18249,18249,CD,30315,67983,English
18353,18353,CD,237424,201664,English
