artist_id,genre,count
255,"big beat",4
255,dance,0
255,"trip hop",0
1216,pop,1
1216,jazz,1
1954,jazz,17
1954,"jazz fusion",7
1954,post-bop,2
1954,"hard bop",4
1954,bebop,1
1954,jazz-funk,0
1954,"cool jazz",5
1954,musical,-1
49983,"hip hop",2
62370,"hip hop",1
63489,soul,1
112300,"hip hop",1
130500,"hip hop",1
175352,soul,2
178910,pop,1
178910,"hip hop",1
178910,electropop,1
178910,dance-pop,1
178910,"pop rock",1
178910,"pop rap",1
178910,"contemporary r&b",2
197210,comedy,1
200702,"hip hop",1
216183,"latin pop",1
216183,latin,1
256540,jazz,1
330228,"hip hop",1
346216,"hip hop",1
348164,jazz,1
359092,"hip hop",1
363089,pop,3
363089,"hip hop",1
363089,dance-pop,1
363089,"pop rap",1
363089,"electro house",1
363089,r&b,2
363089,"contemporary r&b",1
363089,trap,1
383089,dancehall,1
393666,"hip hop",1
400165,"hip hop",1
400165,"alternative hip hop",1
400165,"underground hip hop",1
445012,electronic,1
445012,"hip hop",1
457849,jazz,1
637292,"hip hop",1
640393,jazz,1
718361,"production music",1
719222,"production music",1
883945,"hip hop",1
883945,drill,1
996139,electronic,1
132,funk,2
132,soul,5
132,"pop soul",2
132,"smooth soul",1
132,"contemporary r&b",2
817,rock,1
817,trance,0
817,electronic,2
817,classical,1
817,"progressive rock",6
817,chillout,0
817,ambient,3
817,experimental,2
817,"folk rock",1
817,"new age",3
817,"pop rock",1
817,europop,0
817,"rock and roll",0
817,"folk pop",1
917,"hip hop",3
917,"conscious hip hop",0
917,"east coast hip hop",0
962,pop,0
962,funk,4
962,soul,8
962,"pop soul",1
962,"smooth soul",3
962,"contemporary r&b",1
1344,soul,5
1344,gospel,2
1344,"southern soul",0
1344,"pop soul",0
1460,rock,1
1460,pop,1
1460,jazz,2
1460,soul,5
1460,gospel,4
1460,"southern soul",2
1460,"pop soul",1
1460,"smooth soul",1
1677,soul,6
1677,gospel,3
1677,"southern soul",2
1677,"contemporary gospel",1
1677,"christmas music",1
1677,"smooth soul",3
1773,rock,1
1773,pop,5
1773,folk,4
1773,singer-songwriter,2
1773,"folk rock",1
1773,"pop rock",1
1773,"contemporary folk",1
1773,"folk pop",1
1987,electronic,1
1987,"alternative rock",1
1987,"big beat",2
1987,"psychedelic rock",1
1987,"trip hop",1
2126,"new wave",2
2126,"psychedelic pop",1
2126,"pop rock",2
2259,rock,1
2259,"progressive rock",12
2259,jazz,1
2259,"new wave",1
2259,"art rock",2
2259,"experimental rock",1
2259,"symphonic rock",1
2259,"jazz fusion",1
2259,"symphonic prog",2
2259,"free improvisation",2
2390,jazz,3
2390,folk,1
2390,blues,1
2390,soul,4
2390,gospel,1
2390,"vocal jazz",1
2390,"soul jazz",2
2390,"pop soul",1
2644,soul,3
2926,electronic,-1
2926,"new wave",4
2926,synth-pop,1
2926,dance-pop,0
2926,"alternative dance",1
3222,jazz,1
3222,jazz-funk,1
6664,pop,0
6664,soul,4
6664,"new jack swing",0
6664,"pop soul",0
6664,"christmas music",0
6664,"smooth soul",0
6664,"contemporary r&b",0
7355,jazz,1
9346,funk,1
9346,soul,1
9346,disco,1
9346,dance-pop,1
9346,"pop rock",1
9346,"pop soul",1
9346,"contemporary r&b",1
11229,reggae,1
11229,dancehall,1
11623,rock,1
11623,jazz,1
11623,funk,1
11623,disco,1
11623,"jazz fusion",1
11623,jazz-funk,1
11623,"soul jazz",2
11623,"smooth jazz",1
12076,rock,4
12076,"progressive rock",3
12076,"psychedelic rock",2
12076,"pop rock",2
12076,aor,1
12078,rock,1
12078,country,1
15770,funk,1
15770,soul,1
15770,"spoken word",1
15770,jazz-funk,2
15770,"soul jazz",1
20639,dub,1
20639,dancehall,1
23629,jazz,2
23898,rock,1
23898,funk,2
23898,soul,2
23898,"smooth soul",1
23898,"contemporary r&b",1
30415,soul,2
30415,r&b,1
31092,funk,1
31092,soul,3
31092,disco,1
31092,"smooth soul",1
31092,"contemporary r&b",1
31097,soul,1
31653,"hard rock",5
31653,"psychedelic rock",1
31653,"blues rock",4
36566,rock,2
36566,"progressive rock",2
36566,"hard rock",2
36566,"psychedelic rock",2
36566,"psychedelic pop",1
36566,"space rock",2
38152,funk,2
38152,disco,1
38157,jazz,2
38157,funk,1
38327,funk,1
39987,rock,1
39987,pop,1
39987,country,1
40185,rock,1
40185,"pop rock",1
40373,jazz,1
40373,gospel,1
40373,"contemporary r&b",1
47132,"pop soul",1
47132,"christmas music",1
56761,reggae,1
64525,r&b,1
84684,"hip hop",2
323048,rock,1
323048,electronic,1
323048,dance,1
323048,house,1
323048,electro,2
323048,"electro house",1
326858,soul,1
383225,jazz,1
383225,funk,1
383225,soul,1
383225,jazz-funk,1
383225,"soul jazz",1
113037,"hip hop",2
113037,"conscious hip hop",0
153653,electronic,1
