album_id,genre
21709,"alternative rock"
21709,"hard rock"
21709,psychedelic
21709,rock
21710,rock
21710,rock
21710,"hard rock"
21710,psychedelic
21716,rock
21716,"psychedelic rock"
21716,rock
21716,rock
21716,"psychedelic rock"
21716,rock
21716,blues
21716,"classic rock"
21716,rock
21716,"hard rock"
21716,psychedelic
21716,blues
21716,rock
21717,"blues rock"
21717,rock
21717,rock
21717,"alternative rock"
21717,progressive
21717,"psychedelic rock"
21717,"blues rock"
21717,"classic rock"
21717,rock
21717,"alternative rock"
21717,"psychedelic rock"
21717,"classic rock"
21717,rock
21717,"psychedelic rock"
21717,rock
21717,"psychedelic rock"
21717,"classic rock"
21717,rock
21717,"alternative rock"
21717,"blues rock"
21717,rock
21717,"alternative rock"
21717,rock
21717,"alternative rock"
21717,"alternative rock"
21717,progressive
21717,"blues rock"
21717,"classic rock"
22179,rock
22179,"pop rock"
22184,rock
22184,pop
22184,blues
22184,"folk rock"
22184,"blues rock"
22184,"classic rock"
22184,rock
22184,rock
22184,"blues rock"
22184,"classic rock"
22184,rock
22184,"blues rock"
22184,"classic rock"
22184,rock
22184,blues
22184,"classic rock"
22184,"folk rock"
22184,"blues rock"
22184,rock
22184,rock
22184,pop
22204,rock
22204,rock
22204,blues
22204,"hard rock"
22204,"blues rock"
22615,rock
22615,rock
22615,rock
22615,rock
22615,rock
22615,rock
22717,rock
22717,dub
22717,rock
22717,ska
22717,rock
22748,rock
22767,"hard rock"
22767,"heavy metal"
22767,"hard rock"
22767,rock
22767,metal
22767,"hard rock"
22767,"classic rock"
22767,"pop rock"
22767,"arena rock"
22767,"glam metal"
22767,aor
22767,"hard rock"
22767,rock
22767,"hard rock"
22767,"arena rock"
22767,rock
22767,metal
22767,"classic rock"
22767,"hard rock"
22767,"classic rock"
22767,"heavy metal"
22767,"hard rock"
22767,"arena rock"
22835,rock
22835,"psychedelic rock"
22835,rock
22835,"progressive rock"
22835,"hard rock"
22835,"psychedelic rock"
22835,"art rock"
22835,"classic rock"
22835,"symphonic prog"
22835,rock
22835,"psychedelic rock"
22835,"psychedelic rock"
22835,"classic rock"
22835,rock
22835,"classic rock"
22835,rock
22835,"art rock"
22835,rock
22835,"psychedelic rock"
22835,"classic rock"
22835,"hard rock"
22835,"art rock"
22835,rock
23166,rock
23166,rock
23166,rock
23166,rock
23166,rock
23220,rock
23220,"alternative rock"
23220,"pop rock"
23220,rock
23220,rock
23220,rock
23220,"alternative rock"
23220,"alternative rock"
23220,rock
23220,rock
23220,"alternative rock"
23735,rock
23735,"blues rock"
23735,"psychedelic rock"
23735,"blues rock"
23735,"blues rock"
23735,rock
23735,"hard rock"
23735,"psychedelic rock"
23735,psychedelic
23735,"blues rock"
23735,"classic rock"
23735,rock
23735,"blues rock"
23735,"classic rock"
23735,"blues rock"
23735,"psychedelic rock"
23735,rock
24188,rock
24188,pop
24188,"progressive rock"
24188,"art rock"
24188,"soft rock"
24188,"pop rock"
24188,"progressive rock"
24188,rock
24188,pop
24188,rock
24188,pop
24188,"progressive rock"
24188,"art rock"
24188,"soft rock"
24188,pop
24188,"progressive rock"
27233,folk
27233,blues
27233,bluegrass
27233,country
27233,folk
27233,blues
27233,bluegrass
27233,country
27233,"country blues"
27233,blues
27233,bluegrass
27233,"country blues"
27233,"country blues"
27262,"hard rock"
27262,rock
