name,artist_credit
"52nd Street",138
"The Stranger",138
"The Cult of Ray",3286
"Hymns for Strange Children",22238
"She Hangs Brightly",1126
"A Broken Frame",317
Debut,1022
"Mellow Gold",42
Down,21370
"Romantic Classics",1
"Infernal Love",15340
"Dreams of Classics",1
"Fat City",10151
"New Jersey",14423
Peng!,1340
"Matters of the Heart",1477
"Rock & Roll Strategy",1491753
Batman,153
"LÅc-ed After Dark",1154848
Flood,10790
"The Antidote",22460
OK,2449
"Powerful Overtures",1325982
"Grease: The Original Soundtrack From the Motion Picture",813472
"The Laâ€™s",1171206
"A Night at the Opera",192
Chronologie,3283
"DÃ©jÃ  vu",11058
Zingalamaduni,952
Prince,153
"Fresh Cream",1435
"You Gotta Sin to Get Saved",23936
"Big Day Out 00",1
"Trusted by Millions",23032
"Greatest Hits",131
"Bringing Down the Horse",1630
"Live in New York City",1488075
"Ladies of the Canyon",1218
"So Far",11058
Cold,11203
"Trois couleurs : Bleu",4774
"Angels Fall First",2062
Koyaanisqatsi,9193
"One Eighty",22932
"No Name Face",15595
"Boys and Girls",310
Reflections,1
"Fear of a Black Planet",917
Blackout,1605
"Hot Rocks 1964â€“1971",825
"The Razors Edge",1352
"Sound Blaster AWE32",461699
"Letâ€™s Dance",956
"Thirty Two Short Films About Glenn Gould: The Sound of Genius",1765
"Vision Thing",1693
"Just Push Play",481
"Piano Concertos",1506246
Superunknown,1111
"Symphony No. 6, Op. 74 "PathÃ©tique"",2102015
"Blind Manâ€™s Zoo",2925
"Robbie Robertson",12600
311,360
"To Venus and Back",60
"Plastic Surgery 2",92531
"Wisconsin Death Trip",1049809
"Live at Red Rocks 8.15.95",502
Oceanic,2210
"No More Shall We Part",1299384
"Negotiations and Love Songs: 1971â€“1986",1773
"What Up, Dog?",2842
"Power Classics",1
Connected,849167
Deep,10026
"Our Beloved Revolutionary Sweetheart",2103
"Songs of Faith and Devotion",317
"Fever in Fever Out",1103
Relics,191
"Atom Heart Mother",191
"Hungry for Stink",2073
"Christmas Eve and Other Stories",2146353
"Rain Dogs",23
"Classic Weepies",1
"Luck of the Draw",1638
Facelift,482
"Played-A-Live (The Bongo Song)",22976
"The Best of the Beach Boys, Volume 1",1135
Stripped,825
"Buena Vista Social Club presents Ibrahim Ferrer",48051
Breathless,9491
"The Cream of Clapton",938
Reveal,10302
"Motherâ€™s Milk",12389
"Eagle When She Flies",1607
"Stay on These Roads",1769257
"Room to Roam",1194
Spiderland,15967
"Angel Dust",1005
"Hello, I Must Be Going!",151
"Mariah Carey",111
"Symphonien nos. 5 & 7",1039617
"Symphony No. 4 / 1812 Overture / Marche Slave",1254334
Sap,482
"The Great Twentyâ€Eight",1710
"Life Is Sweet",23936
"Voices Carry",1754424
Swing,6849
"Briefcase Full of Blues",1789
Shrek,24183
"Bridges to Babylon",825
"Land of the Free?",1501
"Brushfire Fairytales",24227
"Hey Man Nice Shot",1007
"Little Creatures",1037
"Preapocalyptic Visions",24235
"Please Please Me",303
"Stay What You Are",6052
"Warm Your Heart",2821
"Bright Midnight: Live in America",1757
"Opera sauvage",2210
"Classic Meditation, Volume II",1
Outrospective,900
"Searching for the Jan Soul Rebels",30041
"New Electronical Music (Stereo&Video #40)",1
"Ballet-Suites & Piano Concerto & Violin Concerto",122653
"Queens of the Stone Age",11783
"Every Time You Say Goodbye",12050
"Peace Sellsâ€¦ but Whoâ€™s Buying?",1104
"A Whole Lot of Nothing",15234
"Alexander Tselyakov in Live Performance",1275549
"Bigger, Better, Faster, More!",2280
"Riven: The Soundtrack",30422
XTRMNTR,418
"Let Love In",1602962
"Far Beyond These Castle Walls",2159
"Echo Dek",418
"Time for Mercy",15950
Rush,918
"The Battle Rages Onâ€¦",1587
"Live at the BBC",303
"Natural Bridge",15860
"Autobiography of Mistachuck",30871
"Roll With It",12395
"1492: Conquest of Paradise",2210
"Look Into the Future",1658
Slap-Happy,2073
"Bricks Are Heavy",2073
"Standing on the Shoulder of Giants",20660
"Larksâ€™ Tongues in Aspic",2259
"In the Wake of Poseidon",2259
"In the Court of the Crimson King",2259
"The Beauty Process: Triple Platinum",2073
"The â€˜Originalâ€™ Bad Co. Anthology",1735
"Paradise Theatre",131
"Get Your Wings",481
"Like a Prayer",89
"Just One Night",938
"Rock Steady",464
"The Very Best of John Lee Hooker",1655
"The 5 Piano Concertos",1234117
"Being There",1181
"Short Sharp Shocked",11279
"Love Is Here",30107
"Opera Arias",1222345
"Echoes: The Best of Pink Floyd",191
"Music to Your Ears: A Collection of Holiday Music",1
"Enjoy the Silence",317
"Savage Garden",155
"Cowboys From Hell",2077
"Hot Trip to Heaven",2175
"Morning View",365
"Pure Garage Presents: Bass, Breaks & Beats",1003812
"98Â° and Rising",853744
"New Favorite",12050
Dulcinea,933
"A Quiet Normal Life: The Best of Warren Zevon",11790
"Made in U.S.A.",1135
"Horse Rotorvator",9185
"Sailing the Seas of Cheese",1372
"Miles & Quincy Live at Montreux",816058
"The Thin Red Line",202
Discovering,1
"White Blood Cells",22351
"Rhapsody in Blue / An American in Paris / Piano Concerto",1070847
"Labor Days",32506
"Pour Madame X",32618
"Without a Sound",1182
Beatsongs,23457
Rooty,1060
"Now & Forever",1051
Ten,190
"On Through the Night",253
"You Canâ€™t Do That on Stage Anymore, Vol. 2",2101
"Paris, 1972",1671
"Experience: Jill Scott 826+",9664
"Punto de partida",33019
"Big Boi & Dre Presentâ€¦ OutKast",525
"Everything I Love",1830
Trespass,1492
Born,21296
"Why Do Birds Sing?",344
"Moving Pictures",918
Invincible,519
"(Whatâ€™s the Story) Morning Glory?",20660
"Oscar Peterson & Dizzy Gillespie",815072
Closer,1089
"Classic Masterpieces, Vol. 1",2210711
"Chants d'Auvergne, Vol. 1",1287230
"Cross Road: The Best of Bon Jovi",14423
"The Last Temptation",859426
"Greatest Hits",163
"The Grand Illusion",131
"Frank Black",3286
"The Triumph of Steel",5123
"Strange Free World",33798
"The Buddha of Suburbia",956
"Field Songs",11732
"24 Nights",938
"Tales of Mystery and Imagination: Edgar Allan Poe",11935
"Violin Concertos",987452
"The Six Unaccompanied Cello Suites",1129678
"Russian Masterpieces",1
8701,11553
"Sex & Violins",10208
"Secret World Live",1343
"Songs for Drella",816863
Haunted,1371
"Ocean Drive",816
Queen,192
Lonelyland,22905
"Love and Rockets",2175
"El amor despuÃ©s del amor",34982
"Social Dancing",1112
"A Collection of Great Dance Songs",191
GÅ‚osy,4774
"Talk Is Cheap",24274
"The Spirit Room",32829
Love,1133
"Maxim Vengerov",908478
"Together Alone",2922
"Dare to Dream",92
"Fighting the World",5123
"Pieces of Eight",131
"No Limit",35382
"A Trick of the Tail",1492
"Sad but True",305691
Slipknot,1374
Discipline,2259
"Romantic Favorites for Strings",2054485
"Apostrophe (â€™)",2101
112,20091
"III: Odyssey of the Mind",4906
"Me Against the World",163
Platinum,817
Ã‰quinoxe,3283
"Hymns: A Place of Worship",9221
"Our Time in Eden",2925
"Should the World Fail to Fall Apart",10026
"Holy Smoke",10026
"The Madcap Laughs",2557
Slowhand,938
"Temple of the Dog",1756
"Toys I Make, Trips I Take",1
"The Greatest Hits: 20 Good Vibrations",1135
"Guys and Dolls",4312
Detonator,2391
"Holy Diver",1443
"100 Masterpieces of Classical Music",1
Re-Wind,2102
Reclamation,2102
"The Process of Belief",779
"Different Trains / Electric Counterpoint",1252905
Listen,1
"Alice in Chains",482
"The Best of Tchaikovsky",122653
"Queen II",192
Shinebox,21605
Aquemini,525
"Rachmaninoff 3 â€¢ Tchaikovsky 1",1681458
"Judy Garland in Hollywood: Her Greatest Movie Hits",3444
"Metal Heart",36125
"Russian Roulette",36125
"Deltron 3030",11488
"Orchestral Works",1438839
"Come With Us",242
"Keep the Faith",14423
"Electric Youth",2701
"Last Splash",1125
"Jazzmatazz, Volume 1",11213
Hemispheres,918
"Le Fabuleux Destin dâ€™AmÃ©lie Poulain",3190
"Stories From the City, Stories From the Sea",9044
"Moonsung: A Real World Retrospective",12390
"Snake Bite Love",3527
"The Years of Decay",30965
"Flight of the Cosmic Hippo",1137443
"Back With a Heart",1648465
Rabies,1958
"Hommage Ã  Piazzolla",1406269
"Sensual Classics, Too",1
IllÃ©s,16296
"Guds spelemÃ¤n",34804
"New Orleans Suite",33800
"Funky Divas",2119
"Mama Said",366
"Freak Show",1968
"Teaser and the Firecat",1456934
"Riding With the King",810214
"God Bless Satan",35017
"Tourist in Paradise",11470
Spitfire,36676
"Among My Swan",1126
"Money and Cigarettes",938
"Beautiful Dreams",2159
Christmette,1171446
"La Folia 1490â€“1701",1617004
"Donâ€™t Smoke in Bed",558383
Bolero,10211
"Karajan Festival",10239
"Don't Call Me Buckwheat",37023
"Transmissions From the Satellite Heart",1114
"Death of a Ladiesâ€™ Man",2107
"Rob Roy",34770
"March of the Pigs",347
"Backstreet Boys",486
"Classical Treasures: Best of Tchaikovsky",855665
"The White Stripes",22351
"Listenerâ€™s Choice: The Best of Classical Favorites, Volume 1",1
"Unity Village",9302
Evergreen,2465131
"Sweet Sorrow",9508
"Hunting High and Low",1769257
"The Butterfly Effect",3175
"Festival de Grandes Clasicos",10239
"Captain Corelliâ€™s Mandolin",37484
"Agent Provocateur",1436
"The Greatest Classical Collection",1
"For God and God Alone",36256
Futureperfect,1444
"The Eleventh Hour",1615
"Under One Roof",37548
"Permanent Waves",918
Clawfinger,15234
"BBC Music, Volume 9, Number 2: Billy the Kid, Organ Symphony, El salÃ³n MÃ©xico, DanzÃ³n cubano",1511596
"Tous les matins du monde",1
"Hell Below/Stars Above",9163
"The Best of ZZ Top",2735
"The Three Americas",37880
"Jane Doe",6060
"The Grand Tour",2821
"Lean Into It",11551
"How to Be aâ€¦ Zillionaire!",2653
"Diamonds and Pearls",1098504
"Perennial Favorites",11
Transistor,360
"Wind on the Water",38301
Anodyne,12413
"Hey Stoopid",859426
"Flesh & Blood",2874
"Requiem Officium Defunctorum, 1605",1681571
"American Dream",11058
"Little Deuce Coupe",1135
Succour,14153
"Black on Both Sides",2212
"Spirit of America",1135
B.R.M.C.,35499
"Waking Ned Devine",38644
"Blues for Allah",1528
"Short Dogâ€™s in the House",7028
"Derelicts of Dialect",38750
"Sunflower / Surfâ€™s Up",1135
"The Essential Barbra Streisand / The Ultimate Collection",1165
"Life After Death",12640
Tommy,11540
"Lute Suites, BWV 995, 996, 997, 999 & 1000",1324859
"In My Time",92
Angelus,37672
Dekalog,4774
"La Double Vie de VÃ©ronique",4774
"Too High to Die",2076
"20th Century Masters: The Millennium Collection: The Best of The Commodores",176160
"Natty Dread",38170
Mythos,422416
Thriller,519
"Built From Scratch",197186
"Conan the Barbarian",22732
"Only Heaven",33393
"The Wild, the Innocent & The E Street Shuffle",813
Ummagumma,191
"Marches cÃ©lÃ¨bres",1
"Fly by Night",918
Equinox,131
"The Last in Line",1443
"Cinema Concerto: Ennio Morricone a Santa Cecilia",1192438
Toto,2402
"Aangenaam Klassiek Editie 2001",1
"Return Of The Candyman",39582
"Cuts Like a Knife",156
"Abandoned Luncheonette",37921
"Atomic Playboys",21720
Rush,938
"Womanâ€™s Gotta Have It",798
"E Ala Ä’",39723
"La Sexorcisto: Devil Music, Volume One",2501
"Compositores 2",122653
"Introduce Yourself",1005
"Supertones Strike Back",1725
"Romantic Classics",1
"The Ladder",349
Laid,2105
"Mozart: Violin Concerto no. 5 in A major, K. 219 / Tchaikovsky: Violin Concerto in D major, op. 35",1963264
"Party Music",3346
Reckoning,1528
"Back to Mine: Talvin Singh",2449
"Anokha: Soundz of the Asian Underground",2449
Solace,1224
"Classic Marches",1008206
"The Best of Tchaikovsky, Volume IV: Symphony No. 6 in B minor, Op. 74 "PathÃ©tique"",122653
"Clubberâ€™s Guide toâ€¦ 2002",1
"Let Me Up (Iâ€™ve Had Enough)",1126994
Shamans,40346
"Hungarian Dances",1166606
"â€¦and Out Come the Wolves",1503
Horrorscope,30965
"Under These Rocks and Stones",2969
Blues,938
"Scream, Dracula, Scream!",6720
"The Nutcracker Suite",122653
"The Afro-Eurasian Eclipse",33800
"Beyond the City",15683
Stiletto,8080
"Dixie Chicken",9121
"Shakedown Street",1528
"Runaway Slave",40884
Dummy,65
"Tago Mago",824769
"Spirit of Rumi",93542
"New Ancient Strings (Nouvelles cordes anciennes)",1616460
"Keys to Imagination",92
"The Oliver Twist Manifesto",41130
Mediterranean,1
"Sounds of the Satellites",1341
"The First Day",809976
"Sing Sing Death House",8562
(Moving),1349186
"Hymn Classics",315399
"Love Among the Ruins",2925
"Overtures and Fantasies",2181939
Host,2147
"Songs From Liquid Days",9193
"Jesus Christ Superstar",1051
Union,349
"1812 Overture / Symphony No. 6 / March Slave",122653
"Machine II Machine",94380
"99.9 FÂ°",1132
Music,360
Orgasmatron,3527
"Stronger Than Pride",198
"Tal Bachman",42071
Home,11626
"Fumbling Towards Ecstasy",1224
"The Power Station",23932
Someday...,7390
"Final Fantasy: The Spirits Within: Original Motion Picture Soundtrack",30315
"Come On Over",973
"Ten Thousand Angels",42250
"Who I Am",1830
"Martha Argerich Collection, Volume 1: Concertos",251289
"Life on Planet Groove",10364
Attahk,9783
"Dressed Up Like Nebraska",37143
"Discover the Classics: Piano Favorites",1
"Blade Runner",2210
"Yankee Hotel Foxtrot",1181
"Symphonien Nr. 4 und 5",839809
"Gallery of Classical Music: Waltzes",1
"Manic Frustration",5155
"Brighter Than a Thousand Suns",1695
"Journey to Jah",42944
"Das Beste von - The Best of Peter I. Tschaikowsky Vol. II",122653
"Extreme Aggression",5556
"Take Off Your Pants and Jacket",932570
Caviar,14139
"Mr. Bungle",3184
"Standard Time, Volume 2: Intimacy Calling",2502
Reptile,938
"American Recordings",387
"Boggy Depot",1951
"Paganini: Violin Concerto No. 1 / Tchaikovsky: Serenade Melancolique",963944
"A Day at the Races",192
"Wenn der letzte Schatten fÃ¤llt",1989927
"Musica para soÃ±ar",1
Trash,859426
Exile,2798
"Rastafari Centennial: Live in Paris - Ã‰lysÃ©e Montmartre",36209
Carmenâ€Fantasie,1862424
"White Nights: Romantic Russian Showpieces",1274398
"Emerson, Lake & Palmer",3515
"Private Audition",1883
18,359
Dust,10026
"Read My Sign",61604
Islands,2259
"100 Miles and Runninâ€™",21830
"Bangin' the Box, Volume 5",3032
"Running With Scissors",863324
"No Reason to Cry",938
"Euphoria (Firefly)",2236
"Timeless: Live in Concert",1165
"Romantic Classics",1
Nashville,11731
Maladroit,446
"Andrew Lloyd Webber Naturally",1051
"A Splash of Pops (Keith Lockhart)",422310
"Life, Love & Pain",38038
"The Best of the Animals",1433
"Part III",20091
"Bangin' in London",3032
Freak*on*ica,35498
"The Final Countdown",539
"Brave Murder Day",34434
"This Heart of Mine",45089
"Facing Future",39723
Hee-Haw,48659
"Disco Volante",3184
"The Nutcracker",1275312
Alice,23
"Ultimate Hits Collection",3415
"Sheer Heart Attack",192
W.F.O.,30965
Newbuild,1614
Talkatif,45777
"Liberation Afrobeat, Volume 1",45777
"Vapen & ammunition",2259791
"The Best Classical Album in the World... Ever!",1
"Horowitz at Home",37248
"Behind the Sun",938
"Unchained Melody: The Early Years",1049
"Feels Like Rain",2292
"Shoot Out the Lights",35299
"Smilin' Buddha Cabaret",23032
Pearl,3143
